plot1,plot1points,plot2,plot2points
8732,3768,8732,2355
23012,4437,23012,2335.3
34381,5221,34381,2270
43047,6028,43047,2411.2
54782,6739,54782,2591.9
74744,8436,74744,2909
103504,10351,103504,3339
140130,13550,140130,4371
254890,16054,254890,5016.9
